zip,lat,lon,radius_km
91010,34.14101,-117.95866,4.3
91011,34.21793,-118.20225,5.05
91016,34.1528,-118.00048,4.64
91020,34.21137,-118.23069,2.77
91024,34.17528,-118.04602,3.7
91030,34.10896,-118.15662,3.68
91040,34.2577,-118.33845,4.62
91042,34.3155,-118.26485,8.41
91046,34.21168,-118.24092,2.06
91101,34.14677,-118.13892,3.02
91103,34.16736,-118.16414,3.95
91104,34.16536,-118.12375,3.76
91105,34.13946,-118.16665,3.86
91106,34.1394,-118.12866,3.5
91107,34.15901,-118.08735,4.64
91108,34.12237,-118.11423,3.77
91125,34.13764,-118.12495,2.38
91201,34.17051,-118.28946,3.4
91202,34.1833,-118.26448,4.01
91203,34.15334,-118.26297,2.85
91204,34.13556,-118.26094,2.93
91205,34.13658,-118.24584,3.25
91206,34.16036,-118.21377,4.18
91207,34.16794,-118.24424,3.15
91208,34.18567,-118.2395,4.47
91210,34.14465,-118.25806,2.28
91214,34.23573,-118.24666,4.45
91301,34.12329,-118.75854,7.23
91302,34.12256,-118.66982,6.76
91303,34.19829,-118.6022,3.32
91304,34.22779,-118.64461,4.83
91306,34.20953,-118.57756,3.85
91307,34.20049,-118.66485,4.59
91311,34.2925,-118.60242,7.25
91316,34.15854,-118.5166,4.12
91320,34.17338,-118.94798,6.08
91321,34.36371,-118.48704,6.69
91324,34.23821,-118.55029,3.87
91325,34.23752,-118.51771,3.99
91326,34.28178,-118.5557,4.58
91330,34.24452,-118.52668,2.64
91331,34.25529,-118.4197,4.78
91335,34.20018,-118.54096,4.33
91340,34.28667,-118.43482,3.68
91342,34.32658,-118.38226,8.12
91343,34.2388,-118.4823,4.21
91344,34.28947,-118.5047,5.45
91345,34.26588,-118.45675,3.64
91350,34.4306,-118.50277,5.62
91351,34.43373,-118.45806,4.68
91352,34.23085,-118.36586,5.11
91354,34.45842,-118.55414,4.46
91355,34.40185,-118.57001,5.29
91356,34.155,-118.54756,4.46
91360,34.2133,-118.87413,5.56
91361,34.13728,-118.88204,6.88
91362,34.19243,-118.81949,5.96
91364,34.1548,-118.59482,4.49
91367,34.17731,-118.6157,4.48
91371,34.18501,-118.57609,2.42
91377,34.18472,-118.76652,4.11
91381,34.37322,-118.60797,7.71
91384,34.5201,-118.66828,11.24
91387,34.40252,-118.36346,8.64
91390,34.57652,-118.49276,13.42
91401,34.17848,-118.43179,3.71
91402,34.22251,-118.44469,3.75
91403,34.14776,-118.46474,3.72
91405,34.20249,-118.44805,3.67
91406,34.19745,-118.48898,4.58
91411,34.17852,-118.45963,3.27
91423,34.14949,-118.43188,3.83
91436,34.14959,-118.48971,4.07
91501,34.19353,-118.29401,3.5
91502,34.17682,-118.30932,3.05
91504,34.21301,-118.31774,4.77
91505,34.17583,-118.34754,4.1
91506,34.16971,-118.32355,3.41
91601,34.16825,-118.37229,3.47
91602,34.15082,-118.36816,3.3
91604,34.14019,-118.3946,3.98
91605,34.20734,-118.40097,4.1
91606,34.18577,-118.38832,3.66
91607,34.16578,-118.39979,3.43
91608,34.13873,-118.35086,2.7
91701,34.13783,-117.6003,4.47
91702,34.28153,-117.80009,9.32
91706,34.09741,-117.96827,5.34
91708,33.95208,-117.63978,4.58
91709,33.94297,-117.72565,8.08
91710,34.0051,-117.68252,6.26
91711,34.12807,-117.71477,5.51
91722,34.09733,-117.90671,3.84
91723,34.08475,-117.88684,3.39
91724,34.07899,-117.85441,4.27
91730,34.1004,-117.58128,5.36
91731,34.07857,-118.04346,3.77
91732,34.07241,-118.01452,3.93
91733,34.04581,-118.05376,4.36
91737,34.15524,-117.5781,4.88
91739,34.15639,-117.51694,6.84
91740,34.11937,-117.85505,4.03
91741,34.16336,-117.83412,6.1
91744,34.0313,-117.93678,4.68
91745,33.999,-117.97215,5.27
91746,34.0433,-117.98686,4.19
91748,33.97829,-117.90232,5.42
91750,34.14806,-117.76663,5.91
91752,33.99648,-117.53133,5.53
91754,34.05292,-118.14347,3.93
91755,34.05096,-118.11439,3.61
91759,34.2637,-117.69957,10.25
91761,34.0356,-117.59153,6.85
91762,34.05941,-117.6693,5.43
91763,34.07206,-117.69829,4.09
91764,34.07409,-117.60562,4.55
91765,33.98517,-117.812,5.91
91766,34.04229,-117.75611,4.89
91767,34.08309,-117.738,4.16
91768,34.06436,-117.79093,4.6
91770,34.06511,-118.08279,4.32
91773,34.10748,-117.80875,5.51
91775,34.11526,-118.08831,3.6
91776,34.08895,-118.09447,3.66
91780,34.10151,-118.05586,3.78
91784,34.14115,-117.65558,4.75
91786,34.10525,-117.66207,4.72
91789,34.01819,-117.85482,5.62
91790,34.06696,-117.93701,4.18
91791,34.06162,-117.89223,4.34
91792,34.02258,-117.90236,3.78
91801,34.09092,-118.12776,3.89
91803,34.07474,-118.14596,3.64
91901,32.81362,-116.72697,10.01
91902,32.67322,-117.0061,5.04
91905,32.67865,-116.30748,10.3
91906,32.65805,-116.47604,11.31
91910,32.6371,-117.06176,5.22
91911,32.60735,-117.05036,5.24
91913,32.62289,-116.98689,4.74
91914,32.66604,-116.95424,4.34
91915,32.6236,-116.9498,4.52
91916,32.91103,-116.63201,9.14
91917,32.642,-116.75377,8.54
91931,32.8376,-116.5803,4.6
91932,32.56535,-117.11457,3.88
91934,32.64899,-116.15256,8.51
91935,32.69434,-116.77551,11.33
91941,32.75927,-116.99709,4.6
91942,32.77727,-117.02134,4.18
91945,32.73315,-117.03407,3.81
91948,32.86495,-116.47304,7.36
91950,32.66907,-117.09349,4.46
91962,32.84677,-116.51977,8.95
91963,32.64795,-116.59636,7.83
91977,32.72624,-116.99432,4.86
91978,32.69892,-116.93096,5.14
91980,32.58519,-116.63254,3.74
92003,33.28527,-117.19778,5.52
92004,33.1977,-116.16746,29.46
92007,33.02305,-117.27558,3.38
92008,33.14248,-117.31344,4.93
92009,33.09534,-117.24577,5.17
92010,33.16538,-117.28143,4.61
92011,33.10676,-117.29633,4.32
92014,32.96323,-117.25037,4.28
92019,32.77884,-116.87142,7.11
92020,32.79561,-116.96975,5.03
92021,32.83573,-116.87462,6.81
92024,33.05687,-117.25758,5.85
92025,33.07781,-117.03313,6.29
92026,33.21097,-117.12479,7.45
92027,33.1316,-116.97694,9.01
92028,33.38647,-117.22496,11.81
92029,33.08553,-117.12397,6.31
92036,33.03241,-116.26518,22.39
92037,32.85464,-117.25177,5.15
92040,32.90891,-116.89197,9.44
92054,33.19307,-117.35968,4.48
92055,33.4112,-117.43326,12.35
92056,33.19958,-117.29876,5.19
92057,33.25462,-117.28331,5.51
92058,33.26397,-117.34478,8.04
92059,33.38282,-117.052,6.77
92060,33.35038,-116.86444,9.53
92061,33.30035,-116.93052,7.36
92064,32.98435,-117.01354,7.91
92065,33.04037,-116.83007,13.82
92066,33.21541,-116.53583,6.26
92067,33.02091,-117.19035,6.3
92069,33.1753,-117.15762,5.9
92070,33.18858,-116.74328,12.33
92071,32.85068,-116.99531,5.94
92075,32.99725,-117.26058,3.68
92078,33.11706,-117.18081,5.71
92081,33.16455,-117.24055,4.71
92082,33.25183,-117.00279,12.18
92083,33.19808,-117.24836,4.14
92084,33.22728,-117.20009,6.83
92086,33.314,-116.62954,15.51
92091,33.05239,-117.18282,3.03
92092,32.87555,-117.23614,2.33
92093,32.88212,-117.23708,2.86
92096,33.12816,-117.15619,2.52
92101,32.71781,-117.17209,4.11
92102,32.71598,-117.1175,3.92
92103,32.74782,-117.16733,3.74
92104,32.74193,-117.12781,3.75
92105,32.7404,-117.08987,4.18
92106,32.70988,-117.23786,4.16
92107,32.73906,-117.2454,3.58
92108,32.77398,-117.14271,3.91
92109,32.78677,-117.23421,4.5
92110,32.76524,-117.20039,4.03
92111,32.80648,-117.16897,4.64
92113,32.69464,-117.11976,3.93
92114,32.70775,-117.0553,4.61
92115,32.76155,-117.07191,4.26
92116,32.76484,-117.12312,3.67
92117,32.82489,-117.19971,4.68
92118,32.69879,-117.20911,4.52
92119,32.81789,-117.03196,4.33
92120,32.79399,-117.0738,4.52
92121,32.89712,-117.20165,5.22
92122,32.8568,-117.21016,4.11
92123,32.80962,-117.1342,4.66
92124,32.82825,-117.08526,4.84
92126,32.91199,-117.14342,5.09
92127,33.01877,-117.1241,6.32
92128,32.99697,-117.07298,5.11
92129,32.96354,-117.12622,5.28
92130,32.94762,-117.20583,5.91
92131,32.89969,-117.04732,7.64
92132,32.71367,-117.17204,2.16
92134,32.72505,-117.14541,2.25
92135,32.69498,-117.19435,2.59
92136,32.68301,-117.12298,2.89
92139,32.68003,-117.04889,3.72
92140,32.74128,-117.19771,2.66
92145,32.8685,-117.14317,4.96
92147,32.72474,-117.21875,2.27
92154,32.5791,-116.96653,8.52
92155,32.65812,-117.15695,2.57
92161,32.87407,-117.23156,2.27
92173,32.55558,-117.0512,3.54
92179,32.5839,-116.93348,2.45
92182,32.77498,-117.07423,2.41
92201,33.70945,-116.23697,5.66
92203,33.7516,-116.24143,5.9
92210,33.69989,-116.32955,5.44
92211,33.7654,-116.3342,5.5
92220,33.93992,-116.83933,12.79
92222,32.78345,-114.54953,3.51
92223,33.93782,-116.98137,8.09
92225,33.71727,-114.66008,23.89
92227,32.99005,-115.33685,24.12
92230,33.90879,-116.76878,5.1
92231,32.68764,-115.56437,9.52
92233,33.14738,-115.50041,13.2
92234,33.81413,-116.46555,5.49
92236,33.70276,-116.07244,9.14
92239,33.76806,-115.21693,22.65
92240,33.95154,-116.5201,7.43
92241,33.84634,-116.2833,12.46
92242,34.18878,-114.30648,8.11
92243,32.7702,-115.59859,11.67
92249,32.72607,-115.48215,6.05
92250,32.77737,-115.12798,19.04
